time,plv,part,pven,qao,qper,qmv,vlv,vart,vven,accuracy,est,phase,cycle,cpu
186.0,1.0646,10.923493635209761,1.8889372955073167,0.0,75.28796949752036,164.86745910146334,93.55028181536677,773.087340880244,4133.36237730439,-1,-1,-1,1,-1
188.0,1.0749,10.917470597649958,1.8886386972086362,0.0,75.24026583701102,162.74773944172725,93.8800167335697,772.936764941249,4133.183218325182,-1,-1,-1,1,-1
190.0,1.0853,10.911451376382997,1.888347005629953,0.0,75.19253642294203,160.6094011259906,94.20551221245316,772.7862844095749,4133.008203377972,-1,-1,-1,1,-1
192.0,1.0957,10.905435973469162,1.8880622827476083,0.0,75.14478075601295,158.4724565495217,94.52673101470513,772.635899336729,4132.837369648565,-1,-1,-1,1,-1
194.0,1.106,10.89942439100868,1.8877845238282982,0.0,75.09699889316984,156.3569047656596,94.84367592780418,772.485609775217,4132.670714296979,-1,-1,-1,1,-1
196.0,1.1164,10.893416631097224,1.8875136574753908,0.0,75.0491914468486,154.22273149507814,95.1563897373355,772.3354157774306,4132.5081944852345,-1,-1,-1,1,-1
198.0,1.1268,10.887412695781476,1.8872497456752293,0.0,75.00135791755207,152.08994913504586,95.46483520032565,772.1853173945369,4132.349847405138,-1,-1,-1,1,-1
200.0,1.1371,10.881412587148075,1.8869927837045042,0.0,74.95349836202975,149.9785567409008,95.76901509859574,772.0353146787019,4132.195670222703,-1,-1,-1,1,-1
202.0,1.1475,10.87541630727911,1.8867427001765735,0.0,74.90561339252115,147.84854003531473,96.06897221207754,771.8854076819778,4132.045620105944,-1,-1,-1,1,-1
204.0,1.1578,10.86942385820771,1.8864995570877652,0.0,74.85770250933288,145.73991141755306,96.36466929214816,771.7355964551928,4131.899734252659,-1,-1,-1,1,-1
206.0,1.1677,10.863435242006963,1.8862632830580712,0.0,74.8097663245741,143.71265661161425,96.65614911498326,771.5858810501741,4131.757969834843,-1,-1,-1,1,-1
208.0,1.1771,10.857450460700997,1.8860336067571142,0.0,74.76180711619902,141.78672135142284,96.94357442820649,771.4362615175249,4131.620164054269,-1,-1,-1,1,-1
210.0,1.1866,10.8514695161317,1.8858101903763311,0.0,74.71382771462808,139.8420380752662,97.22714787090933,771.2867379032925,4131.486114225799,-1,-1,-1,1,-1
212.0,1.1969,10.845492409914533,1.885593096341795,0.0,74.66582761310616,137.738619268359,97.50683194705987,771.1373102478633,4131.355857805077,-1,-1,-1,1,-1
214.0,1.2069,10.839519143705484,1.885382853702945,0.0,74.61780241668784,135.69657074058898,97.78230918559659,770.9879785926371,4131.229712221767,-1,-1,-1,1,-1
216.0,1.2158,10.833549719512147,1.88517925780853,0.0,74.56975384753015,133.875851561706,98.05370232707777,770.8387429878037,4131.107554685118,-1,-1,-1,1,-1
218.0,1.2246,10.827584139204346,1.8849815708161501,0.0,74.52168806990163,132.07631416323005,98.32145403020118,770.6896034801086,4130.98894248969,-1,-1,-1,1,-1
220.0,1.2345,10.821622404158752,1.8847897220625054,0.0,74.47360568413538,130.0579444125011,98.58560665852764,770.5405601039688,4130.873833237503,-1,-1,-1,1,-1
222.0,1.2433,10.81566451570402,1.884604440933411,0.0,74.42550062308842,128.2608881866822,98.84572254735264,770.3916128926005,4130.762664560047,-1,-1,-1,1,-1
224.0,1.2527,10.809710475654175,1.8844249896415326,0.0,74.37737905010536,126.34499792830653,99.102244323726,770.2427618913543,4130.6549937849195,-1,-1,-1,1,-1
226.0,1.2619,10.803760285330164,1.8842517642452716,0.0,74.32923767570743,124.47035284905432,99.35493431958261,770.0940071332541,4130.551058547163,-1,-1,-1,1,-1
228.0,1.2712,10.797813946316104,1.8840846271946945,0.0,74.28107765934507,122.57692543893887,99.60387502528071,769.9453486579026,4130.450776316817,-1,-1,-1,1,-1
230.0,1.2809,10.791871460103357,1.883923641035429,0.0,74.23289849223274,120.60472820708581,99.8490288761586,769.7967865025839,4130.354184621257,-1,-1,-1,1,-1
232.0,1.2901,10.785932828223977,1.8837690682697137,0.0,74.18469799961885,118.73381365394273,100.09023833257277,769.6483207055994,4130.261440961828,-1,-1,-1,1,-1
234.0,1.2991,10.779998052384007,1.8836205712175327,0.0,74.13647900972062,116.90411424350656,100.32770595988065,769.4999513096002,4130.17234273052,-1,-1,-1,1,-1
236.0,1.3086,10.77406713406323,1.8834780124334203,0.0,74.08824268024843,114.97560248668407,100.56151418836765,769.3516783515807,4130.086807460052,-1,-1,-1,1,-1
238.0,1.3174,10.768140074648809,1.8833417212340646,0.0,74.03998627845621,113.18834424681295,100.79146539334103,769.2035018662202,4130.005032740439,-1,-1,-1,1,-1
240.0,1.326,10.76221687574653,1.8832112267075036,0.0,73.99171374199189,111.44224534150071,101.01784208183466,769.0554218936633,4129.926736024502,-1,-1,-1,1,-1
242.0,1.3346,10.756297538647173,1.883086391602172,0.0,73.94342622537502,109.6972783204344,101.24072657251766,768.9074384661793,4129.851834961303,-1,-1,-1,1,-1
244.0,1.3431,10.750382064549145,1.882967212095188,0.0,73.89512377044964,107.97344241903758,101.46012112915852,768.7595516137286,4129.780327257113,-1,-1,-1,1,-1
246.0,1.3512,10.744470454647507,1.8828536176996915,0.0,73.84680697456513,106.3307235399383,101.6760680139966,768.6117613661877,4129.712170619815,-1,-1,-1,1,-1
248.0,1.3593,10.73856271008954,1.882745337977808,0.0,73.7984781009311,104.68906759556162,101.88872946107648,768.4640677522385,4129.647202786685,-1,-1,-1,1,-1
250.0,1.3674,10.732658831841468,1.8826423693461598,0.0,73.75013718746091,103.04847386923197,102.0981075962676,768.3164707960367,4129.585421607696,-1,-1,-1,1,-1
252.0,1.3756,10.726758820866472,1.8825447082238875,0.0,73.70178427202154,101.38894164477752,102.30420454400605,768.1689705216618,4129.526824934333,-1,-1,-1,1,-1
254.0,1.3839,10.720862678124709,1.88245241769931,0.0,73.65341883687832,99.71048353986204,102.50698242729561,768.0215669531177,4129.471450619586,-1,-1,-1,1,-1
256.0,1.3922,10.714970404617757,1.8823655608169687,0.0,73.60504036500657,98.03311216339372,102.70640339437533,767.8742601154439,4129.419336490181,-1,-1,-1,1,-1
258.0,1.4003,10.709082001388555,1.8822841339109724,0.0,73.55664889564653,96.39682678219445,102.90246961870211,767.7270500347139,4129.3704803465835,-1,-1,-1,1,-1
260.0,1.4084,10.703197469476905,1.8822079999846846,0.0,73.50824557910184,94.7615999969369,103.09526327226651,767.5799367369226,4129.324799990811,-1,-1,-1,1,-1
262.0,1.4166,10.697316809830577,1.8821371554699575,0.0,73.45983045300517,93.10743109399148,103.28478647226038,767.4329202457644,4129.2822932819745,-1,-1,-1,1,-1
264.0,1.4248,10.691440023394334,1.882071663467823,0.0,73.41140299938759,91.45433269356458,103.47100133444836,767.2860005848584,4129.242998080694,-1,-1,-1,1,-1
266.0,1.433,10.685567111154382,1.882011520368842,0.0,73.36296325654618,89.80230407376837,103.65390999983549,767.1391777788596,4129.206912221305,-1,-1,-1,1,-1
268.0,1.4412,10.679698074093858,1.8819567225661165,0.0,73.31451126273119,88.1513445132233,103.83351460798303,766.9924518523464,4129.17403353967,-1,-1,-1,1,-1
270.0,1.4494,10.673832913192841,1.8819072664552823,0.0,73.26604705614632,86.50145329105645,104.00981729700948,766.845822829821,4129.144359873169,-1,-1,-1,1,-1
272.0,1.4575,10.667971629428347,1.8818631484344996,0.0,73.21757067494873,84.87262968689993,104.18282020359159,766.6992907357087,4129.1178890607,-1,-1,-1,1,-1
274.0,1.4649,10.662114223774351,1.8818242982377933,0.0,73.16908271280465,83.38485964755864,104.35256546296539,766.5528555943588,4129.094578942676,-1,-1,-1,1,-1
276.0,1.4714,10.656260697157327,1.8817902456480093,0.0,73.12058709591099,82.07804912960185,104.5193351822605,766.4065174289332,4129.074147388806,-1,-1,-1,1,-1
278.0,1.4785,10.650411050189655,1.8817603874412316,0.0,73.07208885623686,80.65207748824635,104.6834912805197,766.2602762547414,4129.056232464739,-1,-1,-1,1,-1
280.0,1.4858,10.644565283081157,1.8817351208124578,0.0,73.02358468557249,79.18702416249154,104.8447954354962,766.1141320770289,4129.041072487475,-1,-1,-1,1,-1
282.0,1.4924,10.63872339630631,1.8817145760142027,0.0,72.97507350243423,77.86291520284054,105.00316948382118,765.9680849076577,4129.028745608522,-1,-1,-1,1,-1
284.0,1.499,10.632885390426113,1.8816982832085325,0.0,72.92655922681317,76.53965664170647,105.15889531422687,765.8221347606528,4129.01896992512,-1,-1,-1,1,-1
286.0,1.5067,10.62705126568797,1.8816862395504828,0.0,72.87804188447905,74.99724791009658,105.31197462751028,765.6762816421992,4129.01174373029,-1,-1,-1,1,-1
288.0,1.5137,10.621221022337213,1.8816791755303999,0.0,72.82951539005678,73.59583510607996,105.46196912333048,765.5305255584303,4129.00750531824,-1,-1,-1,1,-1
290.0,1.5201,10.615394661106006,1.881676621131346,0.0,72.7809836664555,72.31532422626921,105.60916079354264,765.3848665276502,4129.005972678808,-1,-1,-1,1,-1
292.0,1.5268,10.60957218241269,1.8816781733294783,0.0,72.73245007569342,70.97563466589567,105.75379144199518,765.2393045603172,4129.006903997687,-1,-1,-1,1,-1
294.0,1.5334,10.603753586406633,1.8816840293808446,0.0,72.6839129752149,69.65680587616889,105.89574271132697,765.0938396601658,4129.010417628507,-1,-1,-1,1,-1
296.0,1.5394,10.597938873368616,1.8816941197378416,0.0,72.63537294692311,68.4588239475683,106.03505632307932,764.9484718342154,4129.016471842705,-1,-1,-1,1,-1
298.0,1.5449,10.592128043532862,1.8817080415678402,0.0,72.58683334970851,67.36160831356806,106.17197397097445,764.8032010883215,4129.024824940704,-1,-1,-1,1,-1
300.0,1.5501,10.586321096864886,1.8817254589846273,0.0,72.53829698233548,66.32509179692545,106.30669718760159,764.6580274216221,4129.035275390776,-1,-1,-1,1,-1
302.0,1.5692,10.5805180331063,1.8817461696685784,0.0,72.48976552864767,62.5092339337157,106.43934737119544,764.5129508276575,4129.047701801147,-1,-1,-1,1,-1
304.0,1.627,10.57471885186401,1.8817794381072281,0.0,72.4411617813065,50.955887621445626,106.56436583906287,764.3679712966002,4129.067662864337,-1,-1,-1,1,-1
306.0,1.7301,10.568923558921506,1.8818510556877603,0.0,72.39227086028123,30.350211137552076,106.66627761430577,764.2230889730376,4129.110633412656,-1,-1,-1,1,-1
308.0,1.8773,10.563132177252683,1.8819911958868367,0.0,72.34284151138205,0.9382391773673504,106.72697803658087,764.0783044313171,4129.194717532102,-1,-1,-1,1,-1
310.0,2.0662,10.557344749931772,1.8822292112279502,0.0,72.29262948919853,0.0,106.7288545149356,763.9336187482943,4129.33752673677,-1,-1,-1,1,-1
312.0,2.2962,10.551561339572636,1.8824701866595797,0.0,72.24242627427547,0.0,106.7288545149356,763.7890334893159,4129.482111995748,-1,-1,-1,1,-1
314.0,2.5667,10.545781945470694,1.8827109947471612,0.0,72.19225792269611,0.0,106.7288545149356,763.6445486367674,4129.626596848297,-1,-1,-1,1,-1
316.0,2.8726,10.540006564836876,1.8829516356069038,0.0,72.14212441024976,0.0,106.7288545149356,763.5001641209219,4129.770981364142,-1,-1,-1,1,-1
318.0,3.2206,10.534235194884054,1.8831921093549377,0.0,72.09202571274264,0.0,106.7288545149356,763.3558798721014,4129.915265612963,-1,-1,-1,1,-1
320.0,3.6017,10.528467832827037,1.8834324161073133,0.0,72.0419618059977,0.0,106.7288545149356,763.2116958206759,4130.059449664388,-1,-1,-1,1,-1
322.0,4.0164,10.522704475882556,1.88367255598,0.0,71.99193266585463,0.0,106.7288545149356,763.0676118970639,4130.203533588,-1,-1,-1,1,-1
324.0,4.4632,10.516945121269286,1.8839125290888872,0.0,71.94193826816999,0.0,106.7288545149356,762.9236280317322,4130.347517453332,-1,-1,-1,1,-1
326.0,4.9392,10.511189766207831,1.884152335549781,0.0,71.89197858881708,0.0,106.7288545149356,762.7797441551958,4130.4914013298685,-1,-1,-1,1,-1
328.0,5.4444,10.505438407920725,1.8843919754784095,0.0,71.84205360368595,0.0,106.7288545149356,762.6359601980181,4130.635185287046,-1,-1,-1,1,-1
